% Model,Concave Reflector-Parametric Sweep.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 22 2015, 11:47"
% Table,Table 2 - Surface Maximum 1 (actd.p_t)
% Rbar,Dbar,t (µs),Total acoustic pressure field (Pa)
0.45999999999999996,1.1,2454,13712.911693882954
0.45999999999999996,1.1,2456,15995.732381677986
0.45999999999999996,1.1,2457.9999999999995,18054.39121520418
0.45999999999999996,1.1,2460,19291.481474135464
0.45999999999999996,1.1,2462,19492.318556561557
0.45999999999999996,1.1,2464,18726.353491893562
0.45999999999999996,1.1,2466,17051.589841985384
0.45999999999999996,1.1,2467.9999999999995,14789.117413066011
0.45999999999999996,1.1,2470,12293.548585282602
0.45999999999999996,1.1,2472,10943.113675255065
0.45999999999999996,1.1,2474,11867.487004983897
0.45999999999999996,1.1,2476,13860.88272208159
0.45999999999999996,1.1,2477.9999999999995,15343.92583472263
0.45999999999999996,1.1,2480,17721.06153072998
0.45999999999999996,1.1,2482,19179.762864923694
0.45999999999999996,1.1,2484,19603.251801954946
0.45999999999999996,1.1,2486,19042.580707531433
0.45999999999999996,1.1,2487.9999999999995,17965.988296357587
0.45999999999999996,1.1,2490,16148.928774592361
0.45999999999999996,1.1,2492,13560.943770622885
0.45999999999999996,1.1,2493.9999999999995,11663.636512871657
0.45999999999999996,1.1,2496,12086.391705418835
0.45999999999999996,1.1,2498,13057.612999556184
0.45999999999999996,1.1,2500,14394.551690778437
0.45999999999999996,1.3,2450,21509.29518902282
0.45999999999999996,1.3,2451.9999999999995,11333.86024169076
0.45999999999999996,1.3,2454,7853.682758601508
0.45999999999999996,1.3,2456,20480.531781296326
0.45999999999999996,1.3,2457.9999999999995,31683.464249422228
0.45999999999999996,1.3,2460,40207.16860621204
0.45999999999999996,1.3,2462,46191.66640858537
0.45999999999999996,1.3,2464,48979.90127359342
0.45999999999999996,1.3,2466,48348.63604190548
0.45999999999999996,1.3,2467.9999999999995,44276.59580329783
0.45999999999999996,1.3,2470,36829.088617370195
0.45999999999999996,1.3,2472,26493.10822326632
0.45999999999999996,1.3,2474,14643.567312702
0.45999999999999996,1.3,2476,6645.1979372504975
0.45999999999999996,1.3,2477.9999999999995,16681.000306745245
0.45999999999999996,1.3,2480,27615.988816248817
0.45999999999999996,1.3,2482,36409.62249174494
0.45999999999999996,1.3,2484,42634.451656544246
0.45999999999999996,1.3,2486,45824.54423227451
0.45999999999999996,1.3,2487.9999999999995,45717.637545807906
0.45999999999999996,1.3,2490,40993.71766073199
0.45999999999999996,1.3,2492,36079.454662147524
0.45999999999999996,1.3,2493.9999999999995,27046.606934328207
0.45999999999999996,1.3,2496,16749.385042127626
0.45999999999999996,1.3,2498,8256.091749217569
0.45999999999999996,1.3,2500,12124.314846095134
0.45999999999999996,1.5,2450,46157.8566143325
0.45999999999999996,1.5,2451.9999999999995,51279.53791160212
0.45999999999999996,1.5,2454,53062.54844903431
0.45999999999999996,1.5,2456,51048.286669958696
0.45999999999999996,1.5,2457.9999999999995,45317.00503648952
0.45999999999999996,1.5,2460,39600.04268521005
0.45999999999999996,1.5,2462,30789.520435613955
0.45999999999999996,1.5,2464,20930.921687206283
0.45999999999999996,1.5,2466,15941.577440837416
0.45999999999999996,1.5,2467.9999999999995,20907.842532116258
0.45999999999999996,1.5,2470,33275.51156294486
0.45999999999999996,1.5,2472,43201.23679710393
0.45999999999999996,1.5,2474,50027.86388824673
0.45999999999999996,1.5,2476,54158.40475298033
0.45999999999999996,1.5,2477.9999999999995,54321.90232302216
0.45999999999999996,1.5,2480,50520.06052266336
0.45999999999999996,1.5,2482,43232.00841914235
0.45999999999999996,1.5,2484,35661.294633862664
0.45999999999999996,1.5,2486,26091.769304182482
0.45999999999999996,1.5,2487.9999999999995,18976.76275781462
0.45999999999999996,1.5,2490,15225.608579140418
0.45999999999999996,1.5,2492,28688.721969982595
0.45999999999999996,1.5,2493.9999999999995,39596.05851886423
0.45999999999999996,1.5,2496,47074.86308730934
0.45999999999999996,1.5,2498,50127.30354532499
0.45999999999999996,1.5,2500,49796.2725428351
0.64,0.5,2450,21601.412627140548
0.64,0.5,2451.9999999999995,22306.356401416673
0.64,0.5,2454,21572.137725866134
0.64,0.5,2456,19464.145473927583
0.64,0.5,2457.9999999999995,16100.907404153013
0.64,0.5,2460,12187.153480090215
0.64,0.5,2462,12278.415636475773
0.64,0.5,2464,15109.259477037775
0.64,0.5,2466,17937.015934422925
0.64,0.5,2467.9999999999995,19598.639113604015
0.64,0.5,2470,20054.264400212753
0.64,0.5,2472,19316.91935670684
0.64,0.5,2474,17512.067246017385
0.64,0.5,2476,14977.0267695177
0.64,0.5,2477.9999999999995,13172.984868743073
0.64,0.5,2480,14242.58962891804
0.64,0.5,2482,14398.2238494214
0.64,0.5,2484,13592.27693554341
0.64,0.5,2486,12040.334379132752
0.64,0.5,2487.9999999999995,11938.164093434109
0.64,0.5,2490,13147.41396603097
0.64,0.5,2492,17129.147297442152
0.64,0.5,2493.9999999999995,20274.049778230805
0.64,0.5,2496,21993.81917595848
0.64,0.5,2498,22308.164744880938
0.64,0.5,2500,21186.813903432692
0.64,0.7,2450,18671.970885172825
0.64,0.7,2451.9999999999995,18220.400750229528
0.64,0.7,2454,21004.202680053877
0.64,0.7,2456,22379.505852785976
0.64,0.7,2457.9999999999995,22255.472447699318
0.64,0.7,2460,20669.07368592391
0.64,0.7,2462,19939.814207861295
0.64,0.7,2464,19267.269688739467
0.64,0.7,2466,17514.350474099683
0.64,0.7,2467.9999999999995,16995.870406907656
0.64,0.7,2470,20410.221113654865
0.64,0.7,2472,22993.09321032319
0.64,0.7,2474,24309.809236758818
0.64,0.7,2476,24088.04200466474
0.64,0.7,2477.9999999999995,22333.099127906018
